P01,Joe Sierejko,jms@email.com,Chicken
P02,Alex Castro,adc@email.com,Tai
P03,Dan Jenotopoulos,dj@email.com,Tater Tots 
P04,George Saban,gs@neit.com,Rib Eye Steak
P05,Michael Brandon,mb@email.com,Cheeseburger
P06,Rui Santos,rs@email.com,Cheetos
P07,Greg Pratt,gp@email.com,Chicken Wrap
P08,DJ Johsnson,dj@neit.com,Tilapia Fish
P09,Dan Ryckart,dryckart@giantbomb.com,Buffalo Chicken
P10,Abby Russell,arussell@giantbomb.com,Pizza
P11,Jeff Gerstman,jGerstman@giantbomb.com,Fritos
P12,Vinny Caravella,vCaravella@giantbomb.com,Chicken Marsala
P13,Jaaniece Coates,jaanieceCoates@gmail.com,Mac and Cheese
P14,Adam Schiff,aSchiff@demsHouseMajority.gov,Venison
P15,Barack Obama,realPresidents@obama.gov,Steak
P16,Joe Biden,mr2020@bestVP.gov,Cruller
P17,John McCain,realPatriot@America.gov,Ballpark Frank
P18,Bernie Sanders,whereAmI@democrat.gov,Ham and Cheese
P19,April Ryan,freePress@politics.gov,Ice Cream
P20,Vinny Difonzo,vdifonzo@yahoo.com,Meatballs
P21,Frank Difonzo,fdifonzo@CTPD.com,Strawberry Smoothie
P22,Jim Acosta,realNews@CNN.com,Salmon
P23,Diana Sierejko,djSierejko@gmail.com,Pizza
P24,Sarah Conners,futureSoldier@future.net,Canned Peaches
P25,Goku,soAnime@shoninJump.com,Raman
P26,Krillin,baldy@shoninJump.com,Anime Fish
P27,Vegeta,mondoCool@shoninJump.com,Chicken Stew
P28,Gohan,bugKiller@shoninJump.com,Steak Tips
P29,Goten,kidGohan@shoninJump.com,Fried Rice
P30,Master Roshi,hermitMan@shoninJump.com,Salmon Roll
P31,Bulma,capsuleCorp@shoninJump.com,Octopus
P32,Yamcha,theWorstFighter@shoninJump.com,Garbage
P33,Tien,eyeball@shoninJump.com,Foliage
P34,Joe Sierejko,jms@email.com,Chicken
P35,Alex Castro,adc@email.com,Tai
P36,Dan Jenotopoulos,dj@email.com,Tater Tots 
P37,George Saban,gs@neit.com,Rib Eye Steak
P38,Michael Brandon,mb@email.com,Cheeseburger
P39,Rui Santos,rs@email.com,Cheetos
P40,Greg Pratt,gp@email.com,Chicken Wrap
P41,DJ Johsnson,dj@neit.com,Tilapia Fish
P42,Dan Ryckart,dryckart@giantbomb.com,Buffalo Chicken
P43,Abby Russell,arussell@giantbomb.com,Pizza
P44,Jeff Gerstman,jGerstman@giantbomb.com,Fritos
P45,Vinny Caravella,vCaravella@giantbomb.com,Chicken Marsala
P46,Jaaniece Coates,jaanieceCoates@gmail.com,Mac and Cheese
P47,Adam Schiff,aSchiff@demsHouseMajority.gov,Venison
P48,Barack Obama,realPresidents@obama.gov,Steak
P49,Joe Biden,mr2020@bestVP.gov,Cruller
P50,John McCain,realPatriot@America.gov,Ballpark Frank
P51,Bernie Sanders,whereAmI@democrat.gov,Ham and Cheese
P52,April Ryan,freePress@politics.gov,Ice Cream
P53,Vinny Difonzo,vdifonzo@yahoo.com,Meatballs
